sorriso,olho_esquerdo,olho_direito,angulo_x,angulo_y,angulo_z,boca_visivel_esq,boca_visivel_dir,olho_visivel_esq,olho_visivel_dir,nariz_visivel,humor
0.3,0.18,0.4,-0.69,-15.91,-20.64,1,0,1,0,1,Triste
0.47,0.02,0.31,-3.3,-22.47,5.66,1,0,1,1,0,Estressado
0.14,0.3,0.39,-18.75,-9.69,-13.29,0,1,0,1,1,Estressado
0.07,0.91,0.41,-0.94,-13.33,29.79,1,1,1,1,0,Neutro
0.63,0.47,0.47,-19.73,18.59,15.88,1,0,1,1,0,Estressado
0.13,0.45,0.44,-18.26,-26.26,-1.75,0,1,1,0,1,Feliz
0.01,0.53,0.85,-12.19,22.38,-21.46,1,1,0,1,0,Estressado
0.99,0.8,0.46,11.17,11.41,-8.7,0,0,0,0,0,Feliz
0.96,0.56,0.85,16.25,-2.18,-13.9,1,0,1,1,1,Estressado
0.36,0.68,0.84,-8.81,28.19,-0.28,1,0,1,0,0,Cansado
0.98,0.73,0.33,0.89,-1.02,-13.61,1,1,1,1,1,Feliz
0.91,0.68,0.96,17.79,11.58,-20.22,1,0,1,1,1,Feliz
0.5,0.2,0.23,-17.35,-8.8,22.36,1,0,0,1,0,Cansado
0.25,0.98,0.51,-14.66,-14.2,29.35,1,1,0,1,1,Neutro
0.63,0.46,0.54,-0.25,-11.26,15.31,1,0,1,1,1,Cansado
0.49,0.42,0.89,12.14,27.92,16.55,0,0,0,0,1,Estressado
0.04,0.41,0.97,-1.98,-4.23,-25.06,0,1,1,1,1,Feliz
0.75,0.1,0.45,3.73,16.89,-8.89,0,0,0,0,0,Feliz
0.84,0.23,0.23,-13.62,-25.82,-28.0,1,1,1,1,0,Cansado
0.81,0.65,0.25,-16.74,18.5,1.26,1,0,0,1,1,Estressado
0.79,0.47,0.15,-16.27,25.57,4.43,0,1,0,1,0,Neutro
0.56,0.03,0.12,19.01,23.14,-27.91,0,1,1,1,0,Cansado
0.17,0.42,0.71,-24.53,-19.55,24.22,1,0,1,1,0,Estressado
0.05,0.17,0.25,-7.64,15.83,-25.18,1,0,1,0,0,Triste
0.25,0.07,0.12,17.38,-29.03,22.41,0,0,1,0,1,Neutro
0.14,0.27,0.71,-8.7,0.91,23.88,1,1,1,0,0,Estressado
0.48,0.59,0.71,28.34,-1.19,-9.72,0,0,1,0,0,Feliz
0.14,0.98,0.75,25.36,3.77,27.05,0,1,0,0,0,Estressado
0.96,0.87,0.82,-20.63,0.38,12.85,1,1,1,1,1,Feliz
0.61,0.67,0.05,-12.52,-19.4,2.36,0,1,0,1,0,Neutro
0.44,0.41,0.51,12.24,-10.33,-3.61,1,1,0,0,0,Triste
0.66,0.54,0.15,14.74,-14.48,3.34,0,1,1,0,0,Feliz
0.2,0.36,0.9,-26.15,-22.66,-24.86,1,0,1,1,0,Feliz
0.44,0.05,0.75,28.91,-15.12,22.9,0,1,1,0,1,Feliz
0.22,0.72,0.73,6.75,-0.02,1.48,1,0,0,1,0,Feliz
0.53,0.91,0.29,-25.53,-23.47,28.37,0,0,0,1,0,Cansado
0.2,0.22,0.36,-25.26,27.54,-8.51,1,0,0,1,0,Neutro
0.64,0.65,0.27,-19.65,3.03,3.1,1,0,1,0,1,Cansado
0.41,0.55,0.69,-21.73,-15.37,4.97,0,0,1,1,1,Feliz
0.51,0.14,0.77,-18.89,-19.23,15.31,0,1,1,0,0,Triste
0.67,0.14,0.96,-10.34,-14.49,1.22,1,1,1,1,0,Estressado
0.85,0.29,0.66,-0.4,3.71,11.03,0,1,1,1,0,Cansado
0.29,0.67,0.82,4.79,3.31,-14.8,0,0,1,1,1,Feliz
0.95,0.54,0.87,12.76,9.9,22.79,0,0,0,0,0,Triste
0.09,0.77,0.79,-1.28,0.47,-24.03,1,0,0,0,1,Neutro
0.6,0.47,0.58,-11.66,-7.21,16.63,0,0,0,0,0,Neutro
0.04,0.64,0.81,10.33,27.14,5.33,0,0,1,1,0,Estressado
0.02,0.07,0.67,23.89,-28.84,24.33,0,0,1,0,1,Feliz
0.81,0.67,0.99,26.65,20.95,-18.84,0,1,1,0,1,Neutro
0.27,0.03,0.11,26.21,10.14,-20.69,1,1,1,1,1,Estressado
0.29,0.99,0.53,19.5,-20.19,-18.34,0,1,0,0,0,Feliz
0.34,0.86,0.21,2.5,-22.29,4.91,0,0,0,1,1,Triste
0.42,0.97,0.44,-14.86,-15.27,-5.54,0,1,1,0,1,Triste
0.84,0.19,0.04,-18.47,-6.6,-6.05,0,0,0,1,0,Neutro
0.74,0.42,0.23,-13.09,16.98,1.19,1,0,0,0,0,Neutro
0.78,0.77,0.42,-11.29,-23.89,-27.68,0,1,1,0,0,Estressado
0.78,0.5,0.29,-8.19,22.71,11.64,0,0,1,1,0,Neutro
0.04,0.23,0.45,-9.74,-6.87,-13.69,0,0,1,0,1,Feliz
0.98,0.84,0.26,-7.4,6.78,-5.67,0,0,0,1,0,Neutro
0.48,0.8,0.87,21.53,-25.96,-10.99,0,1,1,1,0,Estressado
0.92,0.71,0.26,-21.38,-16.37,-19.04,1,0,0,1,0,Estressado
0.91,0.95,0.35,-16.6,24.15,1.6,0,0,0,1,0,Feliz
0.71,1.0,0.71,25.09,7.25,25.36,0,0,0,1,1,Neutro
0.19,0.92,0.2,11.05,25.0,19.57,1,0,0,1,1,Estressado
0.57,0.0,0.72,19.57,-10.79,17.85,1,1,1,1,0,Cansado
0.76,0.15,0.9,-1.14,21.4,10.82,0,1,0,1,0,Cansado
0.87,0.23,0.14,-17.54,-13.18,13.7,1,0,1,1,0,Estressado
0.4,0.88,0.71,14.06,20.11,8.78,0,0,1,0,0,Cansado
0.76,0.49,0.76,4.48,6.38,-15.68,0,0,1,0,0,Neutro
0.47,0.43,0.17,25.52,-7.15,-1.17,0,0,0,1,1,Triste
0.54,0.93,0.41,17.45,22.63,1.15,0,1,0,0,0,Feliz
0.31,0.07,0.73,-7.85,-18.05,11.91,0,1,1,0,1,Neutro
0.43,0.27,0.58,-26.98,-8.68,-1.09,1,1,1,1,1,Triste
0.49,0.41,0.67,-29.05,25.36,0.34,0,1,0,0,1,Feliz
0.17,0.07,0.1,-15.03,-14.82,9.13,0,0,0,1,0,Feliz
0.16,0.21,0.16,-28.74,-5.95,8.42,0,0,1,1,0,Estressado
0.98,0.64,0.78,8.93,-18.78,16.12,0,0,0,1,0,Triste
0.52,0.11,0.61,20.86,-15.83,28.36,0,1,0,0,0,Triste
0.04,0.19,0.32,6.55,-6.71,-14.45,1,1,0,1,1,Estressado
0.55,0.1,0.64,-26.57,-13.11,-0.58,1,1,0,0,1,Cansado
0.21,0.72,0.78,2.62,-1.61,-28.53,0,1,1,1,0,Estressado
0.39,0.52,0.08,6.06,-23.84,-11.66,0,0,1,1,0,Triste
0.48,0.17,0.55,21.76,-19.77,-22.79,1,1,0,1,0,Cansado
0.73,0.72,0.67,-11.81,3.76,-16.26,1,0,1,0,1,Estressado
0.01,0.83,0.58,-26.13,-18.85,-8.47,1,1,1,0,0,Estressado
0.35,0.01,0.48,-5.24,-25.21,-0.11,1,1,1,1,0,Feliz
0.63,0.98,0.59,-16.05,7.73,-6.51,0,0,0,1,0,Triste
0.91,0.3,0.15,-21.14,14.71,18.18,0,1,0,0,0,Triste
0.53,0.46,0.73,23.89,20.5,16.26,0,0,0,0,1,Estressado
0.54,0.09,0.76,15.92,-28.35,18.36,0,1,0,1,0,Cansado
0.01,0.91,0.77,-14.45,19.6,-2.45,1,0,0,1,0,Estressado
0.43,0.58,0.21,26.43,22.01,-4.09,1,1,0,0,0,Cansado
0.49,0.93,0.36,-4.9,-17.21,13.63,0,1,0,1,0,Neutro
0.93,0.98,0.56,-15.18,18.22,-11.68,1,0,0,1,0,Estressado
0.59,0.47,0.24,8.46,-22.7,8.67,1,0,1,1,1,Feliz
0.47,0.28,0.52,20.44,12.97,-8.27,1,0,0,0,0,Cansado
0.96,0.25,0.52,-1.79,-27.19,14.99,0,0,0,0,1,Cansado
0.48,0.29,0.15,-21.61,19.59,-29.96,0,0,1,0,1,Estressado
0.69,0.47,0.48,-19.0,-18.59,-22.63,1,0,1,1,1,Triste
0.01,0.89,0.09,-14.75,10.15,-21.98,1,0,0,0,0,Feliz
0.82,0.41,0.07,-14.58,18.12,-10.69,0,0,0,0,1,Feliz
0.63,0.58,0.93,-26.38,15.77,-0.99,0,0,1,1,0,Neutro
0.67,0.84,0.2,15.18,-27.62,-26.14,0,1,1,1,1,Cansado
0.69,0.59,0.26,-28.7,26.15,5.74,1,1,0,1,0,Estressado
0.97,0.13,0.83,3.59,-2.87,-29.6,0,0,1,1,1,Triste
0.25,0.86,0.36,-13.28,-29.29,-28.69,0,0,1,1,1,Feliz
0.88,0.26,0.2,-0.16,-19.42,-22.19,0,1,1,0,1,Cansado
0.79,0.37,0.26,-0.82,-10.73,-25.31,0,1,0,0,1,Feliz
0.04,0.83,0.04,-26.39,-1.92,-22.74,0,0,1,0,1,Cansado
0.85,0.23,0.61,13.22,14.91,22.5,1,0,1,0,1,Estressado
0.69,0.36,0.77,28.36,27.27,-6.91,0,1,0,1,0,Cansado
0.54,0.04,0.64,1.66,-7.57,0.31,0,1,1,1,0,Feliz
0.31,0.18,0.47,-8.5,5.2,-21.27,1,0,1,0,0,Feliz
0.98,0.41,0.96,-14.54,0.49,-6.78,0,0,0,1,1,Estressado
0.45,0.07,0.78,4.64,13.95,-14.66,0,1,0,0,0,Neutro
0.99,0.45,0.47,-2.82,-25.58,-26.33,1,1,1,1,1,Neutro
0.56,0.92,0.63,1.41,7.62,20.78,1,1,1,1,0,Neutro
0.32,0.94,0.25,24.45,-19.96,8.72,0,1,0,0,0,Cansado
0.55,0.76,0.38,26.27,-22.59,11.35,1,0,0,1,1,Triste
0.19,1.0,0.53,-13.28,26.9,-2.22,1,0,0,1,1,Cansado
0.58,0.68,0.39,-14.75,-6.31,-16.28,0,0,0,0,1,Estressado
0.83,0.23,0.78,23.3,6.85,19.93,1,0,1,1,0,Triste
0.13,0.2,0.63,-5.25,-9.5,-24.5,0,0,0,1,1,Cansado
0.38,0.19,0.94,18.96,15.2,-11.81,0,0,0,1,0,Feliz
0.48,0.39,0.73,-17.05,16.82,19.31,0,0,1,1,1,Feliz
0.17,0.31,0.94,5.04,-20.61,13.72,1,1,1,0,1,Neutro
0.63,0.01,0.52,-28.27,20.29,-21.24,0,0,0,1,1,Cansado
0.38,0.16,0.2,-27.71,2.48,-7.18,1,0,1,1,0,Neutro
0.87,0.68,0.24,-2.95,-6.23,-11.61,1,0,1,0,1,Neutro
0.08,0.3,0.77,1.08,19.41,-8.11,1,1,0,1,1,Neutro
0.34,0.36,0.61,13.62,-22.05,13.46,0,1,0,0,0,Feliz
0.59,0.8,0.91,8.74,5.89,-16.68,1,0,1,0,0,Triste
0.36,0.9,0.24,-8.91,-27.42,3.47,1,1,1,1,0,Cansado
0.8,0.76,0.51,-10.19,28.34,15.83,0,1,1,1,0,Cansado
0.47,0.46,0.11,-20.64,23.61,20.19,0,0,0,0,1,Estressado
0.42,0.81,0.46,-6.31,-26.22,-29.77,1,0,0,0,1,Estressado
0.9,0.51,0.35,16.54,17.86,-1.14,1,0,1,0,0,Neutro
0.65,0.06,0.5,-2.63,-23.95,-29.62,0,0,0,0,1,Estressado
0.57,0.0,0.9,26.77,24.68,24.61,1,1,0,0,1,Estressado
0.66,0.48,0.62,28.88,-29.37,6.59,0,1,1,0,1,Feliz
0.58,0.78,0.99,5.98,0.28,-15.19,0,0,1,0,1,Neutro
0.83,0.64,0.6,-24.86,-13.79,24.94,0,0,1,0,0,Cansado
0.87,0.4,0.89,-22.73,-8.33,16.35,1,0,0,0,0,Neutro
0.64,0.38,0.31,20.74,3.69,19.47,0,0,0,1,1,Feliz
0.6,0.51,0.49,-15.91,26.13,-6.62,0,1,1,0,1,Feliz
0.17,0.74,0.67,25.78,13.01,15.03,1,0,1,1,0,Estressado
0.77,0.03,0.05,16.75,0.62,26.84,0,0,0,0,1,Estressado
0.26,0.42,0.85,12.93,-2.06,-10.15,1,0,0,1,0,Triste
0.87,0.21,0.53,-8.08,26.96,16.06,1,0,0,0,1,Neutro
0.42,0.58,0.74,13.15,24.57,0.02,0,1,1,1,1,Neutro
0.44,0.54,0.7,20.88,13.04,-8.17,0,0,0,1,0,Triste
0.4,0.64,0.98,21.53,18.59,2.82,0,0,1,0,0,Feliz
0.54,0.36,0.93,5.98,13.99,-22.91,0,0,1,1,1,Feliz
0.91,0.33,0.91,20.62,-9.0,5.35,0,1,0,0,0,Estressado
0.0,0.38,0.81,-25.2,-10.4,-11.37,1,1,0,0,0,Estressado
0.5,0.41,0.71,-27.55,-16.66,7.47,1,1,0,0,0,Neutro
0.82,0.29,0.07,-29.72,26.86,16.67,0,1,0,1,0,Triste
0.62,0.98,0.7,-28.95,-0.77,16.13,0,1,0,0,1,Estressado
0.13,0.27,0.26,18.42,-4.13,17.34,0,0,0,0,1,Estressado
0.58,0.99,0.44,19.92,1.26,-20.94,1,0,1,0,0,Estressado
1.0,0.02,0.42,-8.81,-17.58,-4.53,1,0,1,1,0,Neutro
0.47,0.19,0.39,-16.75,-22.85,-25.47,1,1,1,0,0,Estressado
0.9,0.75,0.4,-6.87,-4.69,-8.17,1,1,1,1,1,Neutro
0.06,0.49,0.04,-28.68,-1.78,2.72,0,1,1,1,1,Triste
0.04,0.65,0.75,17.11,3.93,-14.85,0,0,0,0,1,Cansado
0.59,0.73,0.54,3.24,-26.69,-6.78,0,0,0,1,1,Estressado
0.96,1.0,0.03,28.92,-23.13,13.74,0,0,1,0,0,Neutro
0.5,0.93,0.16,-8.49,-15.55,-4.6,0,1,0,1,1,Estressado
0.68,0.73,0.55,2.04,19.23,-26.33,1,1,1,1,1,Feliz
0.05,0.92,0.14,10.83,-7.33,-12.01,1,1,0,1,1,Triste
0.35,0.95,0.27,5.69,15.81,-18.97,0,1,0,1,1,Estressado
0.0,0.63,0.95,-23.71,18.16,-24.92,1,1,0,0,1,Cansado
0.27,0.4,0.36,-4.76,22.13,-25.32,1,0,0,0,1,Neutro
0.12,0.22,0.36,19.26,4.82,-14.73,0,1,1,0,1,Feliz
0.57,0.67,0.76,3.19,10.34,12.48,0,0,1,1,1,Cansado
0.89,0.65,0.07,-22.98,10.17,-24.78,0,0,0,0,1,Estressado
0.27,0.01,0.52,13.39,-0.14,11.0,1,0,1,1,0,Neutro
0.72,0.11,0.83,-15.8,20.98,-15.95,0,0,1,0,1,Estressado
0.58,0.55,0.92,-10.4,-7.77,-18.8,0,1,0,1,1,Feliz
0.93,0.11,0.59,-9.27,0.89,-22.89,0,1,1,1,0,Cansado
0.15,0.7,0.15,-9.55,15.03,23.84,1,0,1,1,1,Feliz
0.63,0.08,0.23,-16.84,-0.73,-6.2,1,0,0,0,0,Triste
0.69,0.84,0.18,-16.47,9.76,-9.43,0,1,0,0,0,Estressado
0.83,0.23,0.2,15.85,-19.19,0.6,1,0,1,0,0,Triste
0.86,0.74,0.16,13.41,-17.66,-17.73,1,0,1,0,1,Feliz
0.11,0.23,0.21,0.3,13.8,24.71,0,0,1,0,0,Cansado
0.0,0.32,0.88,21.99,5.52,21.63,1,0,0,1,1,Cansado
0.26,0.8,0.97,5.1,7.05,-5.79,0,1,0,1,1,Cansado
0.17,0.02,0.6,-1.75,13.15,1.74,1,1,1,1,0,Estressado
0.91,0.12,0.62,3.33,-24.98,26.09,0,1,1,1,1,Feliz
0.51,0.46,0.18,-12.62,-13.33,9.69,1,1,0,0,1,Triste
0.39,0.87,0.22,-17.17,-3.41,-29.67,0,0,1,1,0,Neutro
0.41,0.57,0.9,25.62,-6.62,15.78,0,1,0,0,0,Triste
0.81,0.66,0.3,-0.18,-12.55,-23.08,0,1,0,1,1,Estressado
0.85,0.04,0.07,22.07,25.0,13.03,0,1,0,1,1,Triste
0.75,0.64,0.22,22.85,-14.73,26.51,0,1,0,0,0,Estressado
0.16,0.9,0.58,23.94,19.36,7.61,0,1,1,0,0,Estressado
0.2,0.06,0.58,3.26,9.07,14.69,1,1,0,0,1,Triste
0.7,0.21,0.52,-20.44,-25.41,-15.01,1,1,1,0,0,Estressado
0.04,0.0,0.78,-28.11,12.58,-11.91,1,0,0,1,0,Neutro
0.74,0.67,0.7,-23.79,-11.19,0.65,1,0,1,0,1,Neutro
0.53,0.45,0.15,18.33,-11.89,-27.16,1,1,1,1,0,Estressado
0.91,0.02,0.86,22.6,-21.84,17.94,1,0,0,1,1,Estressado
0.86,0.85,1.0,27.36,7.99,20.2,0,0,1,0,0,Cansado
0.31,0.46,0.9,-2.14,15.17,-3.64,1,1,1,0,0,Estressado
0.4,0.18,0.63,-14.77,14.18,-2.53,1,1,0,1,0,Feliz
0.49,0.71,0.75,-20.33,8.03,14.91,0,0,1,1,0,Triste
0.59,0.63,0.23,-1.98,18.03,-3.82,0,0,1,0,0,Neutro
0.68,0.44,0.35,5.75,-26.74,18.3,1,0,0,0,0,Estressado
0.94,0.03,0.31,18.81,13.93,-8.22,0,1,1,1,1,Estressado
0.31,0.92,0.21,18.93,-24.16,-4.75,0,1,0,1,1,Neutro
0.06,0.02,0.43,27.66,-6.25,-1.72,1,0,1,0,1,Neutro
